year,month,day,hour,minute,sec,milsec,kp,na
2004,2,14,21,0,0,0,4-,10
2004,2,15,0,0,0,0,4,11
2004,2,15,3,0,0,0,5-,13
2004,2,15,6,0,0,0,4,11
2004,2,15,9,0,0,0,5-,13
2004,2,15,12,0,0,0,2,5
2004,2,15,15,0,0,0,4-,10
2004,2,15,18,0,0,0,3-,7
2004,2,15,21,0,0,0,3,8
2004,2,16,0,0,0,0,4-,10
2004,2,16,3,0,0,0,1+,3
2004,2,16,6,0,0,0,1-,1
2004,2,16,9,0,0,0,2,5
2004,2,16,12,0,0,0,1,2
2004,2,16,15,0,0,0,1-,1
2004,2,16,18,0,0,0,1+,3
2004,2,16,21,0,0,0,1,2
2004,2,17,0,0,0,0,1+,3
2004,2,17,3,0,0,0,2-,4
2004,2,17,6,0,0,0,0+,0
2004,2,17,9,0,0,0,1-,1
2004,2,17,12,0,0,0,0+,0
2004,2,17,15,0,0,0,1,2
2004,2,17,18,0,0,0,1+,3
2004,2,17,21,0,0,0,2-,4
2004,2,18,0,0,0,0,2+,6
2004,2,18,3,0,0,0,2-,4
2004,2,18,6,0,0,0,1,2
2004,2,18,9,0,0,0,1-,1
2004,2,18,12,0,0,0,1+,3
2004,2,18,15,0,0,0,3,8
2004,2,18,18,0,0,0,3-,7
2004,2,18,21,0,0,0,2+,6
2004,2,19,0,0,0,0,3,8
2004,2,19,3,0,0,0,2+,6
2004,2,19,6,0,0,0,2-,4
2004,2,19,9,0,0,0,1+,3
2004,2,19,12,0,0,0,0+,0
2004,2,19,15,0,0,0,1,2
2004,2,19,18,0,0,0,2,5
2004,2,19,21,0,0,0,3-,7
2004,2,20,0,0,0,0,1+,3
2004,2,20,3,0,0,0,2-,4
2004,2,20,6,0,0,0,0+,0
2004,2,20,9,0,0,0,0+,0
2004,2,20,12,0,0,0,1-,1
2004,2,20,15,0,0,0,2-,4
2004,2,20,18,0,0,0,2,5
2004,2,20,21,0,0,0,1,2
2004,2,21,0,0,0,0,2+,6
2004,2,21,3,0,0,0,1+,3
2004,2,21,6,0,0,0,0+,0
2004,2,21,9,0,0,0,1+,3
2004,2,21,12,0,0,0,3-,7
2004,2,21,15,0,0,0,2-,4
2004,2,21,18,0,0,0,2,5
2004,2,21,21,0,0,0,2,5
2004,2,22,0,0,0,0,2,5
2004,2,22,3,0,0,0,1-,1
2004,2,22,6,0,0,0,1,2
2004,2,22,9,0,0,0,2,5
