year,month,day,hour,minute,second,microsecond,latitude,longitude,magnitude,depth
2004,2,11,5,8,20,570000,-3.526,135.581,5.7,32.4
2004,2,11,5,28,25,940000,-3.627,135.561,5.7,22.7
2004,2,11,6,37,45,120000,-3.484,135.606,5.4,30.2
2004,2,11,8,15,3,830000,31.675,35.551,5.3,26.7
2004,2,11,9,30,39,0,-22.68,129.823,4.9,13.0
2004,2,11,13,44,21,430000,-3.406,135.613,5.0,10.0
2004,2,12,9,17,19,240000,3.588,126.58,4.8,39.8
2004,2,12,11,44,8,700000,-21.604,175.473,5.2,20.6
2004,2,12,13,47,32,620000,-19.226,-173.518,5.8,21.2
2004,2,12,15,34,15,680000,-22.003,170.123,5.0,10.0
2004,2,13,0,41,39,180000,13.615,57.108,5.5,10.0
2004,2,13,3,12,3,450000,-3.865,135.408,4.8,10.0
2004,2,13,10,57,5,980000,-3.577,135.439,4.8,10.0
2004,2,13,21,32,23,630000,-38.901,-15.843,5.3,10.0
2004,2,14,10,30,22,180000,34.774,73.216,5.5,11.0
2004,2,14,11,56,57,530000,34.798,73.206,5.4,11.0
2004,2,15,12,31,37,230000,-10.67,163.414,5.2,40.0
2004,2,15,13,32,6,150000,23.703,121.116,4.8,32.8
2004,2,15,15,43,27,550000,-21.317,169.794,5.2,10.0
2004,2,15,23,23,16,690000,36.787,78.443,4.8,37.0
2004,2,16,7,38,24,800000,-19.171,-173.58,5.4,20.7
2004,2,16,10,4,25,780000,5.998,-82.543,5.4,10.0
2004,2,16,17,55,1,170000,-30.241,-176.681,5.0,35.3
2004,2,17,1,3,27,680000,-19.966,168.844,5.4,35.0
2004,2,17,5,13,20,430000,-10.691,163.364,4.8,40.0
2004,2,17,22,42,55,860000,-22.532,169.79,5.0,10.0
2004,2,18,10,59,19,380000,23.639,-108.821,5.9,10.0
2004,2,18,12,12,30,690000,-19.215,-173.572,5.2,10.0
2004,2,19,4,59,9,120000,-55.909,-143.49,5.1,10.0
2004,2,19,5,53,36,30000,-55.959,-143.354,5.0,10.0
2004,2,21,2,34,42,700000,-58.425,-14.963,6.6,10.0
2004,2,21,6,28,33,540000,-4.46,152.915,5.1,37.2
2004,2,21,18,8,54,990000,52.115,160.373,4.8,39.3
2004,2,21,19,29,30,900000,-49.988,126.899,5.2,10.0
2004,2,22,9,4,31,140000,-15.376,-173.33,4.8,10.0
2004,2,22,14,20,27,820000,13.187,50.839,4.8,10.0
2004,2,23,5,3,48,255000,62.3303,-142.4414,4.8,1.9
2004,2,23,11,2,33,790000,-16.531,-174.723,4.9,10.0
2004,2,23,15,16,16,770000,-16.565,-174.779,5.1,10.0
2004,2,23,16,4,49,440000,-14.74,-175.63,6.3,31.0
2004,2,23,18,12,50,200000,-35.496,78.297,5.2,10.0
2004,2,24,2,27,46,230000,35.142,-3.997,6.4,0.0
2004,2,24,18,53,2,480000,35.077,-3.905,4.8,9.5
2004,2,25,1,28,15,180000,-29.221,-177.173,4.8,27.8
2004,2,25,6,33,33,490000,-30.419,-177.765,4.8,10.0
2004,2,25,8,56,6,500000,54.615,162.814,5.5,19.6
2004,2,25,11,15,23,850000,3.911,126.128,5.2,10.0
2004,2,25,11,53,12,110000,13.985,-92.186,5.4,31.3
2004,2,25,12,44,57,450000,35.278,-4.113,5.3,10.1
2004,2,25,14,0,38,90000,13.715,-92.394,4.8,39.4
2004,2,25,15,27,9,930000,3.84,126.174,4.8,38.7
2004,2,25,18,22,23,650000,13.991,-92.145,5.9,35.5
2004,2,26,4,14,3,40000,37.96,38.193,4.8,38.2
2004,2,26,12,7,4,260000,35.233,-4.182,5.0,10.8
2004,2,26,13,35,16,190000,-27.781,-176.54,5.6,10.0
2004,2,26,17,25,56,190000,8.288,123.515,5.5,12.0
2004,2,26,20,32,21,850000,-18.171,66.419,6.3,10.0
2004,2,26,22,52,19,50000,-6.163,102.326,5.4,28.9
2004,2,26,22,58,41,380000,-53.159,159.651,6.0,10.0
2004,2,27,0,33,22,870000,8.12,123.528,4.8,10.0
2004,2,27,1,42,30,370000,50.293,-176.202,4.8,30.0
2004,2,27,6,14,33,130000,-34.121,-112.516,5.7,10.0
2004,2,27,7,4,55,300000,-27.791,-176.459,5.2,10.0
2004,2,27,11,27,2,390000,-27.99,-176.497,5.1,10.0
2004,2,27,12,47,43,310000,2.638,95.919,4.8,15.2
2004,2,27,13,45,25,740000,-18.822,-12.563,5.1,10.0
2004,2,27,15,59,3,470000,-30.417,-177.723,5.1,10.0
2004,2,28,0,19,58,140000,-30.492,-177.373,4.8,10.0
2004,2,28,2,5,17,0,50.96,-130.65,4.8,10.0
2004,2,28,5,23,54,420000,-18.732,-12.562,5.4,11.2
2004,2,28,7,19,53,450000,-34.063,77.019,4.8,10.0
2004,2,28,9,33,34,970000,36.718,141.949,4.8,31.2
2004,2,28,14,46,38,100000,-45.32,167.03,4.8,26.0
2004,2,29,21,1,43,80000,12.286,143.58,5.0,24.7
2004,3,1,0,35,58,50000,37.136,22.116,5.6,9.4
2004,3,1,13,56,28,510000,-36.169,-100.131,5.2,10.0
2004,3,1,16,7,12,400000,-20.242,168.791,4.8,10.0
2004,3,1,17,49,5,800000,8.288,123.417,5.1,10.0
2004,3,2,3,47,22,400000,11.61,-86.767,6.2,28.0
2004,3,2,7,7,52,520000,11.498,-86.786,4.8,34.7
2004,3,2,7,51,43,20000,28.912,51.197,5.1,10.4
2004,3,2,9,31,33,90000,11.416,-86.783,5.1,10.0
2004,3,2,12,30,23,430000,37.526,96.677,4.9,29.5
2004,3,2,19,38,0,110000,42.931,146.288,5.2,37.1
2004,3,3,0,20,22,560000,51.613,159.544,4.8,40.0
2004,3,3,7,9,13,530000,-31.517,-178.176,4.9,10.0
2004,3,3,9,21,31,960000,15.747,-97.132,4.8,19.6
2004,3,3,12,21,33,280000,14.947,-94.085,5.2,40.0
2004,3,3,20,24,44,740000,-0.733,-16.131,5.4,10.0
2004,3,3,21,21,49,860000,25.723,128.367,4.9,4.0
2004,3,4,12,33,42,710000,-32.141,-178.42,5.0,10.0
2004,3,4,17,48,42,290000,-32.405,-178.59,5.5,10.0
2004,3,5,0,49,33,460000,-3.414,145.35,5.6,17.4
2004,3,5,1,27,58,900000,-31.334,-178.542,4.9,10.0
2004,3,6,6,6,40,630000,4.891,-77.688,4.8,27.9
2004,3,6,10,21,32,0,12.959,93.135,5.5,38.2
2004,3,6,11,53,31,700000,-3.45,145.234,4.8,10.0
2004,3,6,11,54,43,310000,33.291,91.953,5.0,38.5
2004,3,7,1,7,32,410000,-32.544,-178.597,5.6,10.0
2004,3,7,1,9,29,50000,-32.774,-178.089,5.0,10.0
2004,3,7,1,21,49,150000,-3.471,151.019,4.8,37.5
2004,3,7,6,37,52,270000,35.036,-4.022,5.1,0.0
2004,3,7,11,8,1,340000,-32.381,-178.191,6.0,7.0
2004,3,7,11,11,5,970000,-31.179,-178.338,4.9,10.0
2004,3,7,11,11,49,520000,-32.456,-178.023,5.0,10.0
2004,3,7,11,19,52,520000,-32.396,-178.098,5.4,10.0
2004,3,7,13,29,45,620000,31.639,91.236,5.6,11.0
2004,3,7,15,4,51,120000,-32.527,-178.296,5.8,10.0
2004,3,8,5,34,38,280000,-32.708,-178.003,5.1,10.0
2004,3,8,9,27,25,490000,56.194,114.193,4.9,20.0
2004,3,8,23,39,11,340000,10.48,-43.919,6.0,10.0
2004,3,9,0,33,21,820000,-19.529,-173.598,4.9,39.0
2004,3,9,4,49,59,50000,-15.804,167.906,4.8,24.6
2004,3,9,5,56,32,560000,-2.131,125.106,5.6,29.6
2004,3,9,13,8,7,670000,-65.198,179.71,5.9,10.0
2004,3,9,13,17,12,470000,-65.238,179.347,4.8,10.0
2004,3,9,22,7,13,200000,-32.559,-177.97,5.8,10.0
2004,3,9,22,43,48,960000,-32.271,-178.222,5.1,10.0
2004,3,9,22,56,42,510000,-32.265,-178.358,6.2,18.4
2004,3,9,23,2,52,440000,-32.447,-177.875,4.9,10.0
2004,3,9,23,42,28,470000,-31.885,-177.965,4.9,10.0
2004,3,9,23,45,22,640000,-32.141,-178.076,5.0,10.0
2004,3,10,1,41,42,500000,-31.93,-178.06,4.8,10.0
2004,3,10,2,4,19,620000,-32.384,-178.13,5.0,10.0
2004,3,10,3,16,38,880000,-32.515,-178.063,5.1,10.0
2004,3,10,3,48,36,540000,-32.343,-178.119,5.7,10.0
2004,3,10,6,52,37,730000,-32.276,-178.099,4.8,10.0
2004,3,10,8,19,18,380000,-32.823,-177.789,5.4,10.0
2004,3,10,16,47,54,450000,48.686,153.427,4.8,32.7
2004,3,11,1,31,24,230000,-32.318,-178.035,5.4,10.0
